symbol,ex_date,amount_per_unit,distribution_type,notes
LIQUIDBEES,2022-02-28,0.071278,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-03-31,2.314554,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-04-29,2.171747,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-05-31,2.770197,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-06-30,2.705983,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-07-31,3.344091,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-08-31,3.757324,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-09-30,3.584019,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-10-31,4.52935,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-11-30,3.933296,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2022-12-30,4.448828,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-01-31,4.20513,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-02-28,4.340305,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-03-31,4.747269,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-04-28,4.475128,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-05-31,5.28773,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-06-30,4.769264,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-07-31,4.54164,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-08-31,4.318876,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-09-29,4.427259,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-10-31,4.490269,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-11-30,3.82847,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2023-12-31,3.653926,dividend,Yahoo Finance chart dividend event
LIQUIDBEES,2024-01-31,4.317189,dividend,Yahoo Finance chart dividend event
